raw_sentence,tokens,tokens_no_stop,stemmed,lemmatized
This sound track was beautiful!,"['this', 'sound', 'track', 'was', 'beautiful']","['sound', 'track', 'beautiful']","['sound', 'track', 'beauti']","['sound', 'track', 'beautiful']"
It paints the senery in your mind so well I would recomend it even to people who hate vid.,"['it', 'paints', 'the', 'senery', 'in', 'your', 'mind', 'so', 'well', 'i', 'would', 'recomend', 'it', 'even', 'to', 'people', 'who', 'hate', 'vid']","['paints', 'senery', 'mind', 'well', 'would', 'recomend', 'even', 'people', 'hate', 'vid']","['paint', 'seneri', 'mind', 'well', 'would', 'recomend', 'even', 'peopl', 'hate', 'vid']","['paint', 'senery', 'mind', 'well', 'would', 'recomend', 'even', 'people', 'hate', 'vid']"
game music!,"['game', 'music']","['game', 'music']","['game', 'music']","['game', 'music']"
I have played the game Chrono Cross but out of all of the games I have ever played it has the best music!,"['i', 'have', 'played', 'the', 'game', 'chrono', 'cross', 'but', 'out', 'of', 'all', 'of', 'the', 'games', 'i', 'have', 'ever', 'played', 'it', 'has', 'the', 'best', 'music']","['played', 'game', 'chrono', 'cross', 'games', 'ever', 'played', 'best', 'music']","['play', 'game', 'chrono', 'cross', 'game', 'ever', 'play', 'best', 'music']","['played', 'game', 'chrono', 'cross', 'game', 'ever', 'played', 'best', 'music']"
It backs away from crude keyboarding and takes a fresher step with grate guitars and soulful orchestras.,"['it', 'backs', 'away', 'from', 'crude', 'keyboarding', 'and', 'takes', 'a', 'fresher', 'step', 'with', 'grate', 'guitars', 'and', 'soulful', 'orchestras']","['backs', 'away', 'crude', 'keyboarding', 'takes', 'fresher', 'step', 'grate', 'guitars', 'soulful', 'orchestras']","['back', 'away', 'crude', 'keyboard', 'take', 'fresher', 'step', 'grate', 'guitar', 'soul', 'orchestra']","['back', 'away', 'crude', 'keyboarding', 'take', 'fresher', 'step', 'grate', 'guitar', 'soulful', 'orchestra']"
It would impress anyone who cares to listen!,"['it', 'would', 'impress', 'anyone', 'who', 'cares', 'to', 'listen']","['would', 'impress', 'anyone', 'cares', 'listen']","['would', 'impress', 'anyon', 'care', 'listen']","['would', 'impress', 'anyone', 'care', 'listen']"
^_^,[],[],[],[]
I'm reading a lot of reviews saying that this is the best 'game soundtrack' and I figured that I'd write a review to disagree a bit.,"['im', 'reading', 'a', 'lot', 'of', 'reviews', 'saying', 'that', 'this', 'is', 'the', 'best', 'game', 'soundtrack', 'and', 'i', 'figured', 'that', 'id', 'write', 'a', 'review', 'to', 'disagree', 'a', 'bit']","['im', 'reading', 'lot', 'reviews', 'saying', 'best', 'game', 'soundtrack', 'figured', 'id', 'write', 'review', 'disagree', 'bit']","['im', 'read', 'lot', 'review', 'say', 'best', 'game', 'soundtrack', 'figur', 'id', 'write', 'review', 'disagre', 'bit']","['im', 'reading', 'lot', 'review', 'saying', 'best', 'game', 'soundtrack', 'figured', 'id', 'write', 'review', 'disagree', 'bit']"
This in my opinino is Yasunori Mitsuda's ultimate masterpiece.,"['this', 'in', 'my', 'opinino', 'is', 'yasunori', 'mitsudas', 'ultimate', 'masterpiece']","['opinino', 'yasunori', 'mitsudas', 'ultimate', 'masterpiece']","['opinino', 'yasunori', 'mitsuda', 'ultim', 'masterpiec']","['opinino', 'yasunori', 'mitsudas', 'ultimate', 'masterpiece']"
"The music is timeless and I'm been listening to it for years now and its beauty simply refuses to fade.The price tag on this is pretty staggering I must say, but if you are going to buy any cd for this much money, this is the only one that I feel would be worth every penny.","['the', 'music', 'is', 'timeless', 'and', 'im', 'been', 'listening', 'to', 'it', 'for', 'years', 'now', 'and', 'its', 'beauty', 'simply', 'refuses', 'to', 'fadethe', 'price', 'tag', 'on', 'this', 'is', 'pretty', 'staggering', 'i', 'must', 'say', 'but', 'if', 'you', 'are', 'going', 'to', 'buy', 'any', 'cd', 'for', 'this', 'much', 'money', 'this', 'is', 'the', 'only', 'one', 'that', 'i', 'feel', 'would', 'be', 'worth', 'every', 'penny']","['music', 'timeless', 'im', 'listening', 'years', 'beauty', 'simply', 'refuses', 'fadethe', 'price', 'tag', 'pretty', 'staggering', 'must', 'say', 'going', 'buy', 'cd', 'much', 'money', 'one', 'feel', 'would', 'worth', 'every', 'penny']","['music', 'timeless', 'im', 'listen', 'year', 'beauti', 'simpli', 'refus', 'fadeth', 'price', 'tag', 'pretti', 'stagger', 'must', 'say', 'go', 'buy', 'cd', 'much', 'money', 'one', 'feel', 'would', 'worth', 'everi', 'penni']","['music', 'timeless', 'im', 'listening', 'year', 'beauty', 'simply', 'refuse', 'fadethe', 'price', 'tag', 'pretty', 'staggering', 'must', 'say', 'going', 'buy', 'cd', 'much', 'money', 'one', 'feel', 'would', 'worth', 'every', 'penny']"
"This soundtrack is my favorite music of all time, hands down.","['this', 'soundtrack', 'is', 'my', 'favorite', 'music', 'of', 'all', 'time', 'hands', 'down']","['soundtrack', 'favorite', 'music', 'time', 'hands']","['soundtrack', 'favorit', 'music', 'time', 'hand']","['soundtrack', 'favorite', 'music', 'time', 'hand']"
"The intense sadness of ""Prisoners of Fate"" (which means all the more if you've played the game) and the hope in ""A Distant Promise"" and ""Girl who Stole the Star"" have been an important inspiration to me personally throughout my teen years.","['the', 'intense', 'sadness', 'of', 'prisoners', 'of', 'fate', 'which', 'means', 'all', 'the', 'more', 'if', 'youve', 'played', 'the', 'game', 'and', 'the', 'hope', 'in', 'a', 'distant', 'promise', 'and', 'girl', 'who', 'stole', 'the', 'star', 'have', 'been', 'an', 'important', 'inspiration', 'to', 'me', 'personally', 'throughout', 'my', 'teen', 'years']","['intense', 'sadness', 'prisoners', 'fate', 'means', 'youve', 'played', 'game', 'hope', 'distant', 'promise', 'girl', 'stole', 'star', 'important', 'inspiration', 'personally', 'throughout', 'teen', 'years']","['intens', 'sad', 'prison', 'fate', 'mean', 'youv', 'play', 'game', 'hope', 'distant', 'promis', 'girl', 'stole', 'star', 'import', 'inspir', 'person', 'throughout', 'teen', 'year']","['intense', 'sadness', 'prisoner', 'fate', 'mean', 'youve', 'played', 'game', 'hope', 'distant', 'promise', 'girl', 'stole', 'star', 'important', 'inspiration', 'personally', 'throughout', 'teen', 'year']"
"The higher energy tracks like ""Chrono Cross ~ Time's Scar~"", ""Time of the Dreamwatch"", and ""Chronomantique"" (indefinably remeniscent of Chrono Trigger) are all absolutely superb as well.This soundtrack is amazing music, probably the best of this composer's work (I haven't heard the Xenogears soundtrack, so I can't say for sure), and even if you've never played the game, it would be worth twice the price to buy it.I wish I could give it 6 stars.","['the', 'higher', 'energy', 'tracks', 'like', 'chrono', 'cross', 'times', 'scar', 'time', 'of', 'the', 'dreamwatch', 'and', 'chronomantique', 'indefinably', 'remeniscent', 'of', 'chrono', 'trigger', 'are', 'all', 'absolutely', 'superb', 'as', 'wellthis', 'soundtrack', 'is', 'amazing', 'music', 'probably', 'the', 'best', 'of', 'this', 'composers', 'work', 'i', 'havent', 'heard', 'the', 'xenogears', 'soundtrack', 'so', 'i', 'cant', 'say', 'for', 'sure', 'and', 'even', 'if', 'youve', 'never', 'played', 'the', 'game', 'it', 'would', 'be', 'worth', 'twice', 'the', 'price', 'to', 'buy', 'iti', 'wish', 'i', 'could', 'give', 'it', 'stars']","['higher', 'energy', 'tracks', 'like', 'chrono', 'cross', 'times', 'scar', 'time', 'dreamwatch', 'chronomantique', 'indefinably', 'remeniscent', 'chrono', 'trigger', 'absolutely', 'superb', 'wellthis', 'soundtrack', 'amazing', 'music', 'probably', 'best', 'composers', 'work', 'havent', 'heard', 'xenogears', 'soundtrack', 'cant', 'say', 'sure', 'even', 'youve', 'never', 'played', 'game', 'would', 'worth', 'twice', 'price', 'buy', 'iti', 'wish', 'could', 'give', 'stars']","['higher', 'energi', 'track', 'like', 'chrono', 'cross', 'time', 'scar', 'time', 'dreamwatch', 'chronomantiqu', 'indefin', 'remenisc', 'chrono', 'trigger', 'absolut', 'superb', 'wellthi', 'soundtrack', 'amaz', 'music', 'probabl', 'best', 'compos', 'work', 'havent', 'heard', 'xenogear', 'soundtrack', 'cant', 'say', 'sure', 'even', 'youv', 'never', 'play', 'game', 'would', 'worth', 'twice', 'price', 'buy', 'iti', 'wish', 'could', 'give', 'star']","['higher', 'energy', 'track', 'like', 'chrono', 'cross', 'time', 'scar', 'time', 'dreamwatch', 'chronomantique', 'indefinably', 'remeniscent', 'chrono', 'trigger', 'absolutely', 'superb', 'wellthis', 'soundtrack', 'amazing', 'music', 'probably', 'best', 'composer', 'work', 'havent', 'heard', 'xenogears', 'soundtrack', 'cant', 'say', 'sure', 'even', 'youve', 'never', 'played', 'game', 'would', 'worth', 'twice', 'price', 'buy', 'iti', 'wish', 'could', 'give', 'star']"
I truly like this soundtrack and I enjoy video game music.,"['i', 'truly', 'like', 'this', 'soundtrack', 'and', 'i', 'enjoy', 'video', 'game', 'music']","['truly', 'like', 'soundtrack', 'enjoy', 'video', 'game', 'music']","['truli', 'like', 'soundtrack', 'enjoy', 'video', 'game', 'music']","['truly', 'like', 'soundtrack', 'enjoy', 'video', 'game', 'music']"
I have played this game and most of the music on here I enjoy and it's truly relaxing and peaceful.On disk one.,"['i', 'have', 'played', 'this', 'game', 'and', 'most', 'of', 'the', 'music', 'on', 'here', 'i', 'enjoy', 'and', 'its', 'truly', 'relaxing', 'and', 'peacefulon', 'disk', 'one']","['played', 'game', 'music', 'enjoy', 'truly', 'relaxing', 'peacefulon', 'disk', 'one']","['play', 'game', 'music', 'enjoy', 'truli', 'relax', 'peacefulon', 'disk', 'one']","['played', 'game', 'music', 'enjoy', 'truly', 'relaxing', 'peacefulon', 'disk', 'one']"
"my favorites are Scars Of Time, Between Life and Death, Forest Of Illusion, Fortress of Ancient Dragons, Lost Fragment, and Drowned Valley.Disk Two: The Draggons, Galdorb - Home, Chronomantique, Prisoners of Fate, Gale, and my girlfriend likes ZelbessDisk Three: The best of the three.","['my', 'favorites', 'are', 'scars', 'of', 'time', 'between', 'life', 'and', 'death', 'forest', 'of', 'illusion', 'fortress', 'of', 'ancient', 'dragons', 'lost', 'fragment', 'and', 'drowned', 'valleydisk', 'two', 'the', 'draggons', 'galdorb', 'home', 'chronomantique', 'prisoners', 'of', 'fate', 'gale', 'and', 'my', 'girlfriend', 'likes', 'zelbessdisk', 'three', 'the', 'best', 'of', 'the', 'three']","['favorites', 'scars', 'time', 'life', 'death', 'forest', 'illusion', 'fortress', 'ancient', 'dragons', 'lost', 'fragment', 'drowned', 'valleydisk', 'two', 'draggons', 'galdorb', 'home', 'chronomantique', 'prisoners', 'fate', 'gale', 'girlfriend', 'likes', 'zelbessdisk', 'three', 'best', 'three']","['favorit', 'scar', 'time', 'life', 'death', 'forest', 'illus', 'fortress', 'ancient', 'dragon', 'lost', 'fragment', 'drown', 'valleydisk', 'two', 'draggon', 'galdorb', 'home', 'chronomantiqu', 'prison', 'fate', 'gale', 'girlfriend', 'like', 'zelbessdisk', 'three', 'best', 'three']","['favorite', 'scar', 'time', 'life', 'death', 'forest', 'illusion', 'fortress', 'ancient', 'dragon', 'lost', 'fragment', 'drowned', 'valleydisk', 'two', 'draggons', 'galdorb', 'home', 'chronomantique', 'prisoner', 'fate', 'gale', 'girlfriend', 'like', 'zelbessdisk', 'three', 'best', 'three']"
"Garden Of God, Chronopolis, Fates, Jellyfish sea, Burning Orphange, Dragon's Prayer, Tower Of Stars, Dragon God, and Radical Dreamers - Unstealable Jewel.Overall, this is a excellent soundtrack and should be brought by those that like video game music.Xander Cross","['garden', 'of', 'god', 'chronopolis', 'fates', 'jellyfish', 'sea', 'burning', 'orphange', 'dragons', 'prayer', 'tower', 'of', 'stars', 'dragon', 'god', 'and', 'radical', 'dreamers', 'unstealable', 'jeweloverall', 'this', 'is', 'a', 'excellent', 'soundtrack', 'and', 'should', 'be', 'brought', 'by', 'those', 'that', 'like', 'video', 'game', 'musicxander', 'cross']","['garden', 'god', 'chronopolis', 'fates', 'jellyfish', 'sea', 'burning', 'orphange', 'dragons', 'prayer', 'tower', 'stars', 'dragon', 'god', 'radical', 'dreamers', 'unstealable', 'jeweloverall', 'excellent', 'soundtrack', 'brought', 'like', 'video', 'game', 'musicxander', 'cross']","['garden', 'god', 'chronopoli', 'fate', 'jellyfish', 'sea', 'burn', 'orphang', 'dragon', 'prayer', 'tower', 'star', 'dragon', 'god', 'radic', 'dreamer', 'unsteal', 'jeweloveral', 'excel', 'soundtrack', 'brought', 'like', 'video', 'game', 'musicxand', 'cross']","['garden', 'god', 'chronopolis', 'fate', 'jellyfish', 'sea', 'burning', 'orphange', 'dragon', 'prayer', 'tower', 'star', 'dragon', 'god', 'radical', 'dreamer', 'unstealable', 'jeweloverall', 'excellent', 'soundtrack', 'brought', 'like', 'video', 'game', 'musicxander', 'cross']"
"If you've played the game, you know how divine the music is!","['if', 'youve', 'played', 'the', 'game', 'you', 'know', 'how', 'divine', 'the', 'music', 'is']","['youve', 'played', 'game', 'know', 'divine', 'music']","['youv', 'play', 'game', 'know', 'divin', 'music']","['youve', 'played', 'game', 'know', 'divine', 'music']"
"Every single song tells a story of the game, it's that good!","['every', 'single', 'song', 'tells', 'a', 'story', 'of', 'the', 'game', 'its', 'that', 'good']","['every', 'single', 'song', 'tells', 'story', 'game', 'good']","['everi', 'singl', 'song', 'tell', 'stori', 'game', 'good']","['every', 'single', 'song', 'tell', 'story', 'game', 'good']"
